name,color,speed_px_per_sec,contrast,mean_luminance,spatial_frequency_cpp,diagonal_inch,visual_radius_deg,resolution_x,resolution_y,refresh_rate,repeat_index,distance_m,retinal_spatial_frequency_cpd,temporal_frequency_hz,theta_deg,gabor_radius_px,sf_cpp_condition,speed_px_per_sec_condition
YanchengCai,ach,40,0.9,50,0.25,27,2.0,2560,1440,240,0,1.71,32.2787,10.0,19.8273,255.75,0.25,40
YanchengCai,ach,60,0.9,50,0.25,27,2.0,2560,1440,240,0,1.91,35.9828,15.0,17.7863,285.66,0.25,60
YanchengCai,ach,80,0.9,50,0.25,27,2.0,2560,1440,240,0,1.49,28.2141,20.0,22.6837,222.85,0.25,80
YanchengCai,ach,120,0.9,50,0.25,27,2.0,2560,1440,240,0,1.26,23.9816,30.0,26.6871,188.45,0.25,120
YanchengCai,ach,180,0.9,50,0.25,27,2.0,2560,1440,240,0,1.15,21.9662,45.0,29.1357,172.0,0.25,180
YanchengCai,rg,50,0.14,50,0.2,27,2.0,2560,1440,240,0,1.99,29.9731,10.0,17.082,297.63,0.2,50
YanchengCai,rg,75,0.14,50,0.2,27,2.0,2560,1440,240,0,1.7,25.6749,15.0,19.9416,254.26,0.2,75
YanchengCai,rg,100,0.14,50,0.2,27,2.0,2560,1440,240,0,1.7,25.6749,20.0,19.9416,254.26,0.2,100
YanchengCai,rg,150,0.14,50,0.2,27,2.0,2560,1440,240,0,1.09,16.6961,30.0,30.6658,163.02,0.2,150
YanchengCai,yv,400,0.92,50,0.05,27,2.0,2560,1440,240,0,2.14,8.05,20.0,15.9005,320.06,0.05,400
YanchengCai,yv,600,0.92,50,0.05,27,2.0,2560,1440,240,0,1.5,5.6797,30.0,22.5364,224.34,0.05,600
