name,color,speed_px_per_sec,contrast,mean_luminance,spatial_frequency_cpp,diagonal_inch,visual_radius_deg,resolution_x,resolution_y,refresh_rate,repeat_index,distance_m,retinal_spatial_frequency_cpd,temporal_frequency_hz,theta_deg,gabor_radius_px
YanchengCai,ach,150,0.9,1,0.1,27,2.0,2560,1440,240,0,2.43,18.2556,15.0,14.0231,363.44
YanchengCai,ach,200,0.9,1,0.1,27,2.0,2560,1440,240,0,1.57,11.8763,20.0,21.5556,234.81
YanchengCai,ach,300,0.9,1,0.1,27,2.0,2560,1440,240,0,1.6771,12.6683,30.0,20.2079,250.84
YanchengCai,ach,450,0.9,1,0.1,27,2.0,2560,1440,240,0,1.43,10.8432,45.0,23.6093,213.87
YanchengCai,ach,50,0.9,50,0.2,27,2.0,2560,1440,240,0,2.1439,32.2576,10.0,15.8722,320.64
YanchengCai,ach,100,0.9,50,0.2,27,2.0,2560,1440,240,0,1.8885,28.4675,20.0,17.9854,282.45
YanchengCai,ach,150,0.9,50,0.2,27,2.0,2560,1440,240,0,1.6547,25.0053,30.0,20.4757,247.49
YanchengCai,ach,225,0.9,50,0.2,27,2.0,2560,1440,240,0,1.4642,22.1903,45.0,23.0732,218.98
YanchengCai,rg,100,0.14,1,0.1,27,2.0,2560,1440,240,0,1.62,12.2455,10.0,20.9057,242.29
YanchengCai,rg,150,0.14,1,0.1,27,2.0,2560,1440,240,0,1.25,9.5192,15.0,26.8929,186.95
YanchengCai,rg,50,0.14,50,0.2,27,2.0,2560,1440,240,0,2.0185,30.3963,10.0,16.8442,301.89
YanchengCai,rg,100,0.14,50,0.2,27,2.0,2560,1440,240,0,1.9561,29.4698,20.0,17.3737,292.56
YanchengCai,rg,150,0.14,50,0.2,27,2.0,2560,1440,240,0,1.446,21.9223,30.0,23.3553,216.27
YanchengCai,yv,400,0.92,1,0.02,27,2.0,2560,1440,240,0,1.92,2.8935,8.0,17.6951,287.16
YanchengCai,yv,500,0.92,1,0.02,27,2.0,2560,1440,240,0,1.37,2.0803,10.0,24.6124,204.9
YanchengCai,yv,400,0.92,50,0.05,27,2.0,2560,1440,240,0,2.4454,9.1849,20.0,13.9359,365.73
YanchengCai,yv,600,0.92,50,0.05,27,2.0,2560,1440,240,0,1.35,5.127,30.0,24.9656,201.91
