name,color,speed_px_per_sec,contrast,mean_luminance,spatial_frequency_cpp,sf_cpp_eff,speed_eff,diagonal_inch,visual_radius_deg,trial_index,distance_m_tested,cpd_inv_tested,test_interval,observer_response,correct,quest_estimate_cpd_inv,quest_estimate_m,quest_sd_cpd_inv,retinal_spatial_freq_cpd,temporal_freq_hz
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,0,1.7,-2.9501,1,1,1,-3.00843,1.8049,0.24216,25.6749,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,1,1.7,-2.9501,1,1,1,-3.05984,1.9007,0.22631,25.6749,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,2,1.7,-2.9501,2,2,1,-3.10181,1.9812,0.20635,25.6749,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,3,1.9815,-3.10193,2,2,1,-3.14357,2.0636,0.19063,29.8468,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,4,1.9815,-3.10193,2,2,1,-3.17879,2.1347,0.17254,29.8468,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,5,1.9815,-3.10193,2,2,1,-3.20722,2.1932,0.15431,29.8468,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,6,2.2077,-3.21421,2,2,1,-3.23328,2.2477,0.14103,33.2065,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,7,2.2077,-3.21421,2,2,1,-3.25562,2.2952,0.12761,33.2065,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,8,2.2077,-3.21421,2,2,1,-3.27431,2.3354,0.11482,33.2065,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,9,2.3578,-3.28464,2,2,1,-3.29023,2.37,0.105,35.4375,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,10,2.3578,-3.28464,1,1,1,-3.30401,2.4002,0.09563,35.4375,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,11,2.3578,-3.28464,1,2,0,-3.25913,2.3027,0.11247,35.4375,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,12,2.3178,-3.26616,1,1,1,-3.27457,2.336,0.10378,34.8426,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,13,2.3178,-3.26616,1,1,1,-3.2882,2.3656,0.09549,34.8426,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,14,2.3178,-3.26616,2,2,1,-3.30012,2.3917,0.08776,34.8426,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,15,2.408,-3.30756,2,1,0,-3.26963,2.3253,0.09809,36.1847,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,16,2.408,-3.30756,2,1,0,-3.23968,2.2613,0.10618,36.1847,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,17,2.408,-3.30756,2,1,0,-3.21191,2.2029,0.11283,36.1847,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,18,2.217,-3.21863,1,1,1,-3.22721,2.235,0.10421,33.3436,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,19,2.217,-3.21863,1,1,1,-3.24078,2.2636,0.09624,33.3436,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,20,2.217,-3.21863,1,1,1,-3.25275,2.2891,0.08905,33.3436,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,21,2.2969,-3.25644,2,2,1,-3.26335,2.3118,0.08353,34.5326,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,22,2.2969,-3.25644,1,1,1,-3.27299,2.3325,0.07849,34.5326,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,23,2.2969,-3.25644,1,1,1,-3.28173,2.3515,0.07393,34.5326,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,24,2.3566,-3.28407,1,1,1,-3.28968,2.3688,0.07012,35.4191,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,25,2.3566,-3.28407,2,2,1,-3.29699,2.3848,0.06663,35.4191,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,26,2.3566,-3.28407,1,1,1,-3.30371,2.3996,0.06345,35.4191,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,27,2.4038,-3.30562,2,2,1,-3.30987,2.4131,0.06082,36.1209,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,28,2.4038,-3.30562,1,2,0,-3.29214,2.3742,0.0647,36.1209,15.0
YanchengCai,rg,75,0.14,50,0.2,0.2,75,27,2.0,29,2.4038,-3.30562,1,1,1,-3.29844,2.388,0.06217,36.1209,15.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,0,1.15,-2.8006,2,2,1,-2.86379,1.233,0.25786,21.9662,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,1,1.15,-2.8006,2,2,1,-2.91915,1.3087,0.24026,21.9662,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,2,1.15,-2.8006,1,1,1,-2.96387,1.3718,0.21829,21.9662,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,3,1.3706,-2.96306,2,1,0,-2.80846,1.1601,0.20359,26.0148,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,4,1.3706,-2.96306,2,2,1,-2.84616,1.2095,0.20148,26.0148,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,5,1.3706,-2.96306,2,2,1,-2.88453,1.261,0.19602,26.0148,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,6,1.2716,-2.89228,2,1,0,-2.7599,1.0983,0.18766,24.1947,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,7,1.2716,-2.89228,2,1,0,-2.69203,1.0153,0.17683,24.1947,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,8,1.2716,-2.89228,1,1,1,-2.71909,1.0479,0.17675,24.1947,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,9,1.0506,-2.72128,2,2,1,-2.75465,1.0918,0.16606,20.152,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,10,1.0506,-2.72128,1,1,1,-2.78522,1.1303,0.1526,20.152,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,11,1.0506,-2.72128,1,1,1,-2.81034,1.1626,0.13831,20.152,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,12,1.1775,-2.8218,1,1,1,-2.83251,1.1915,0.12803,22.4688,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,13,1.1775,-2.8218,1,1,1,-2.8518,1.217,0.11785,22.4688,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,14,1.1775,-2.8218,1,2,0,-2.78583,1.1311,0.13048,22.4688,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,15,1.1477,-2.79879,1,1,1,-2.80603,1.157,0.12065,21.9235,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,16,1.1477,-2.79879,2,2,1,-2.82364,1.1799,0.11094,21.9235,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,17,1.1477,-2.79879,2,2,1,-2.8388,1.1998,0.10185,21.9235,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,18,1.2079,-2.84494,1,1,1,-2.85197,1.2172,0.09488,23.0261,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,19,1.2079,-2.84494,1,1,1,-2.8637,1.2329,0.08863,23.0261,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,20,1.2079,-2.84494,2,2,1,-2.87416,1.247,0.08318,23.0261,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,21,1.2486,-2.87533,2,2,1,-2.88369,1.2599,0.07916,23.7719,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,22,1.2486,-2.87533,1,1,1,-2.8925,1.2719,0.07574,23.7719,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,23,1.2486,-2.87533,2,2,1,-2.90066,1.2831,0.07288,23.7719,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,24,1.2807,-2.8989,1,1,1,-2.90846,1.2938,0.07105,24.3614,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,25,1.2807,-2.8989,1,2,0,-2.8842,1.2606,0.0703,24.3614,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,26,1.2807,-2.8989,2,2,1,-2.89143,1.2705,0.06774,24.3614,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,27,1.2706,-2.89151,1,1,1,-2.89831,1.2799,0.06538,24.1755,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,28,1.2706,-2.89151,1,1,1,-2.90481,1.2888,0.06336,24.1755,45.0
YanchengCai,ach,180,0.9,50,0.25,0.25,180,27,2.0,29,1.2706,-2.89151,2,2,1,-2.91098,1.2973,0.06163,24.1755,45.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,0,1.5,-1.78419,1,1,1,-1.81589,1.5835,0.15537,5.6797,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,1,1.5,-1.78419,2,2,1,-1.84525,1.6633,0.1487,5.6797,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,2,1.5,-1.78419,2,1,0,-1.72804,1.359,0.13157,5.6797,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,3,1.3,-1.70348,1,1,1,-1.75027,1.4138,0.1307,4.9432,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,4,1.3,-1.70348,2,2,1,-1.77125,1.4667,0.12794,4.9432,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,5,1.3,-1.70348,2,2,1,-1.7904,1.5161,0.12379,4.9432,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,6,1.4906,-1.78056,2,2,1,-1.81082,1.5699,0.12082,5.6451,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,7,1.4906,-1.78056,1,1,1,-1.82983,1.6211,0.11679,5.6451,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,8,1.4906,-1.78056,1,1,1,-1.84714,1.6685,0.11209,5.6451,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,9,1.6489,-1.84003,2,2,1,-1.86436,1.7166,0.10863,6.2299,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,10,1.6489,-1.84003,1,1,1,-1.88044,1.7623,0.10468,6.2299,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,11,1.6489,-1.84003,1,1,1,-1.89523,1.805,0.10045,6.2299,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,12,1.7834,-1.88777,2,2,1,-1.90957,1.847,0.0969,6.7274,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,13,1.7834,-1.88777,2,1,0,-1.8599,1.7041,0.09466,6.7274,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,14,1.7834,-1.88777,2,1,0,-1.82499,1.6079,0.09249,6.7274,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,15,1.6087,-1.82525,1,1,1,-1.83727,1.6413,0.08888,6.0809,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,16,1.6087,-1.82525,1,1,1,-1.84864,1.6727,0.08528,6.0809,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,17,1.6087,-1.82525,1,1,1,-1.85912,1.7019,0.08181,6.0809,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,18,1.6982,-1.8578,2,2,1,-1.86901,1.7298,0.07905,6.4121,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,19,1.6982,-1.8578,2,2,1,-1.8783,1.7562,0.07644,6.4121,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,20,1.6982,-1.8578,2,1,0,-1.84639,1.6664,0.07677,6.4121,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,21,1.6677,-1.84685,1,1,1,-1.8552,1.6909,0.07394,6.2994,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,22,1.6677,-1.84685,1,1,1,-1.86345,1.7141,0.07129,6.2994,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,23,1.6677,-1.84685,1,1,1,-1.87116,1.7358,0.06885,6.2994,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,24,1.733,-1.87014,2,2,1,-1.87848,1.7567,0.06699,6.5407,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,25,1.733,-1.87014,2,2,1,-1.88548,1.7768,0.06528,6.5407,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,26,1.733,-1.87014,1,2,0,-1.86323,1.7134,0.06551,6.5407,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,27,1.7137,-1.86333,1,1,1,-1.86991,1.7323,0.06353,6.4695,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,28,1.7137,-1.86333,2,1,0,-1.8496,1.6753,0.065,6.4695,30.0
YanchengCai,yv,600,0.92,50,0.05,0.05,600,27,2.0,29,1.7137,-1.86333,1,2,0,-1.83133,1.6251,0.06722,6.4695,30.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,0,1.49,-3.04431,1,1,1,-3.1075,1.5872,0.25786,28.2141,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,1,1.49,-3.04431,1,1,1,-3.16285,1.6755,0.24026,28.2141,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,2,1.49,-3.04431,1,1,1,-3.20758,1.749,0.21829,28.2141,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,3,1.7477,-3.20676,1,1,1,-3.25224,1.8245,0.20124,32.9762,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,4,1.7477,-3.20676,2,2,1,-3.28969,1.8894,0.18164,32.9762,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,5,1.7477,-3.20676,2,2,1,-3.31967,1.9424,0.162,32.9762,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,6,1.9536,-3.32593,2,1,0,-3.2263,1.7805,0.17149,36.791,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,7,1.9536,-3.32593,1,1,1,-3.25428,1.828,0.16316,36.791,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,8,1.9536,-3.32593,2,1,0,-3.19022,1.7203,0.16762,36.791,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,9,1.7429,-3.20391,1,1,1,-3.21914,1.7684,0.15338,32.8882,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,10,1.7429,-3.20391,2,2,1,-3.24388,1.8103,0.13905,32.8882,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,11,1.7429,-3.20391,2,2,1,-3.26458,1.8458,0.1256,32.8882,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,12,1.8549,-3.26984,1,1,1,-3.28267,1.8771,0.11629,34.9608,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,13,1.8549,-3.26984,2,2,1,-3.29876,1.9053,0.10768,34.9608,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,14,1.8549,-3.26984,1,1,1,-3.313,1.9305,0.09995,34.9608,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,15,1.9313,-3.31341,1,1,1,-3.32594,1.9536,0.09426,36.3769,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,16,1.9313,-3.31341,2,2,1,-3.3378,1.9749,0.08914,36.3769,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,17,1.9313,-3.31341,2,1,0,-3.29781,1.9037,0.09399,36.3769,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,18,1.9076,-3.30003,1,2,0,-3.2628,1.8427,0.10156,35.938,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,19,1.9076,-3.30003,2,2,1,-3.27498,1.8638,0.09516,35.938,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,20,1.9076,-3.30003,1,1,1,-3.28623,1.8834,0.08931,35.938,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,21,1.8891,-3.28951,1,1,1,-3.29666,1.9016,0.08378,35.5954,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,22,1.8891,-3.28951,1,1,1,-3.30619,1.9185,0.0789,35.5954,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,23,1.8891,-3.28951,2,2,1,-3.31491,1.9339,0.07464,35.5954,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,24,1.9354,-3.31575,1,2,0,-3.28977,1.8896,0.07922,36.4541,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,25,1.9354,-3.31575,2,2,1,-3.29826,1.9045,0.07514,36.4541,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,26,1.9354,-3.31575,2,1,0,-3.27599,1.8655,0.08045,36.4541,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,27,1.872,-3.27975,2,2,1,-3.28469,1.8807,0.07553,35.2794,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,28,1.872,-3.27975,2,2,1,-3.29265,1.8946,0.07121,35.2794,20.0
YanchengCai,ach,80,0.9,50,0.25,0.25,80,27,2.0,29,1.872,-3.27975,1,2,0,-3.26861,1.8527,0.07768,35.2794,20.0
YanchengCai,rg,150,0.14,50,0.2,0.2,150,27,2.0,0,1.09,-2.55587,2,2,1,-2.6142,1.17,0.24216,16.6961,30.0
YanchengCai,rg,150,0.14,50,0.2,0.2,150,27,2.0,1,1.09,-2.55587,1,2,0,-2.48714,1.0,0.18885,16.6961,30.0
YanchengCai,rg,150,0.14,50,0.2,0.2,150,27,2.0,2,1.09,-2.55587,1,1,1,-2.48714,1.0,0.19846,16.6961,30.0
YanchengCai,rg,150,0.14,50,0.2,0.2,150,27,2.0,3,1.0,-2.48714,2,2,1,-2.48949,1.003,0.19955,15.3851,30.0
YanchengCai,rg,150,0.14,50,0.2,0.2,150,27,2.0,4,1.0,-2.48714,1,1,1,-2.52971,1.0552,0.19573,15.3851,30.0
YanchengCai,rg,150,0.14,50,0.2,0.2,150,27,2.0,5,1.0,-2.48714,1,1,1,-2.56601,1.1037,0.18825,15.3851,30.0
YanchengCai,rg,150,0.14,50,0.2,0.2,150,27,2.0,6,1.0833,-2.55089,2,2,1,-2.60138,1.1521,0.18256,16.5988,30.0
YanchengCai,rg,150,0.14,50,0.2,0.2,150,27,2.0,7,1.0833,-2.55089,1,1,1,-2.63311,1.1966,0.17501,16.5988,30.0
YanchengCai,rg,150,0.14,50,0.2,0.2,150,27,2.0,8,1.0833,-2.55089,2,2,1,-2.66068,1.2362,0.16673,16.5988,30.0
YanchengCai,rg,150,0.14,50,0.2,0.2,150,27,2.0,9,1.199,-2.6348,2,2,1,-2.68976,1.2787,0.16212,18.2912,30.0
YanchengCai,rg,150,0.14,50,0.2,0.2,150,27,2.0,10,1.199,-2.6348,2,1,0,-2.58108,1.1242,0.1377,18.2912,30.0
YanchengCai,rg,150,0.14,50,0.2,0.2,150,27,2.0,11,1.199,-2.6348,1,1,1,-2.6026,1.1538,0.13447,18.2912,30.0
YanchengCai,rg,150,0.14,50,0.2,0.2,150,27,2.0,12,1.1503,-2.60006,1,1,1,-2.62309,1.1825,0.12916,17.5772,30.0
YanchengCai,rg,150,0.14,50,0.2,0.2,150,27,2.0,13,1.1503,-2.60006,1,1,1,-2.64172,1.2089,0.12431,17.5772,30.0
YanchengCai,rg,150,0.14,50,0.2,0.2,150,27,2.0,14,1.1503,-2.60006,1,1,1,-2.65855,1.2331,0.12011,17.5772,30.0
YanchengCai,rg,150,0.14,50,0.2,0.2,150,27,2.0,15,1.2138,-2.64517,2,2,1,-2.67569,1.258,0.11876,18.5081,30.0
YanchengCai,rg,150,0.14,50,0.2,0.2,150,27,2.0,16,1.2138,-2.64517,1,1,1,-2.69213,1.2822,0.11769,18.5081,30.0
YanchengCai,rg,150,0.14,50,0.2,0.2,150,27,2.0,17,1.2138,-2.64517,2,2,1,-2.70782,1.3056,0.11677,18.5081,30.0
YanchengCai,rg,150,0.14,50,0.2,0.2,150,27,2.0,18,1.2705,-2.68423,2,2,1,-2.7247,1.331,0.11744,19.3401,30.0
YanchengCai,rg,150,0.14,50,0.2,0.2,150,27,2.0,19,1.2705,-2.68423,2,2,1,-2.74132,1.3563,0.1177,19.3401,30.0
