name,color,speed_px_per_sec,contrast,mean_luminance,spatial_frequency_cpp,diagonal_inch,visual_radius_deg,trial_index,distance_m_tested,test_interval,observer_response,correct,quest_estimate_m,retinal_spatial_freq_cpd,temporal_freq_hz
YanchengCai,yv,200,0.92,50,0.1,27,2.0,0,1.7393,1,1,1,1.8262,13.1283,20.0
YanchengCai,yv,200,0.92,50,0.1,27,2.0,1,1.7726,2,2,1,1.9037,13.3746,20.0
YanchengCai,yv,200,0.92,50,0.1,27,2.0,2,1.8673,1,1,1,1.9738,14.0768,20.0
YanchengCai,yv,200,0.92,50,0.1,27,2.0,3,1.9432,2,1,0,1.7315,14.6395,20.0
YanchengCai,yv,200,0.92,50,0.1,27,2.0,4,1.7349,1,1,1,1.7859,13.0959,20.0
YanchengCai,yv,200,0.92,50,0.1,27,2.0,5,1.797,2,2,1,1.8313,13.5556,20.0
YanchengCai,yv,200,0.92,50,0.1,27,2.0,6,1.8406,2,2,1,1.869,13.8788,20.0
YanchengCai,yv,200,0.92,50,0.1,27,2.0,7,1.8734,1,1,1,1.9006,14.1216,20.0
YanchengCai,yv,200,0.92,50,0.1,27,2.0,8,1.8996,1,1,1,1.9275,14.3157,20.0
YanchengCai,yv,200,0.92,50,0.1,27,2.0,9,1.9215,2,2,1,1.951,14.4786,20.0
YanchengCai,yv,200,0.92,50,0.1,27,2.0,10,1.9406,1,2,0,1.8778,14.6204,20.0
YanchengCai,yv,200,0.92,50,0.1,27,2.0,11,1.8845,2,1,0,1.8048,14.2042,20.0
YanchengCai,yv,200,0.92,50,0.1,27,2.0,12,1.8224,2,2,1,1.8328,13.744,20.0
YanchengCai,yv,200,0.92,50,0.1,27,2.0,13,1.8452,2,1,0,1.7582,13.9127,20.0
YanchengCai,yv,200,0.92,50,0.1,27,2.0,14,1.7798,1,1,1,1.7887,13.4285,20.0
YanchengCai,yv,200,0.92,50,0.1,27,2.0,15,1.8055,2,2,1,1.8132,13.6183,20.0
YanchengCai,yv,200,0.92,50,0.1,27,2.0,16,1.8248,1,1,1,1.8331,13.7618,20.0
YanchengCai,yv,200,0.92,50,0.1,27,2.0,17,1.8403,1,1,1,1.8496,13.8764,20.0
YanchengCai,yv,200,0.92,50,0.1,27,2.0,18,1.8531,2,1,0,1.805,13.9715,20.0
YanchengCai,yv,200,0.92,50,0.1,27,2.0,19,1.8159,1,1,1,1.823,13.6957,20.0
YanchengCai,ach,300,0.2,10,0.1,27,2.0,0,1.3397,1,1,1,1.4266,10.1783,30.0
YanchengCai,ach,300,0.2,10,0.1,27,2.0,1,1.373,2,2,1,1.5041,10.423,30.0
YanchengCai,ach,300,0.2,10,0.1,27,2.0,2,1.4677,1,1,1,1.5742,11.1214,30.0
YanchengCai,ach,300,0.2,10,0.1,27,2.0,3,1.5436,2,2,1,1.6366,11.6814,30.0
YanchengCai,ach,300,0.2,10,0.1,27,2.0,4,1.6084,2,1,0,1.4209,12.1597,30.0
YanchengCai,ach,300,0.2,10,0.1,27,2.0,5,1.4327,2,2,1,1.4706,10.8631,30.0
YanchengCai,ach,300,0.2,10,0.1,27,2.0,6,1.4823,1,1,1,1.5118,11.2288,30.0
YanchengCai,ach,300,0.2,10,0.1,27,2.0,7,1.519,2,2,1,1.546,11.4997,30.0
YanchengCai,ach,300,0.2,10,0.1,27,2.0,8,1.548,2,2,1,1.5748,11.7134,30.0
YanchengCai,ach,300,0.2,10,0.1,27,2.0,9,1.5719,1,2,0,1.4887,11.8904,30.0
YanchengCai,ach,300,0.2,10,0.1,27,2.0,10,1.5026,2,2,1,1.5169,11.3785,30.0
YanchengCai,ach,300,0.2,10,0.1,27,2.0,11,1.5256,1,1,1,1.5401,11.5481,30.0
YanchengCai,ach,300,0.2,10,0.1,27,2.0,12,1.5443,1,1,1,1.5595,11.6862,30.0
YanchengCai,ach,300,0.2,10,0.1,27,2.0,13,1.56,2,2,1,1.5759,11.8028,30.0
YanchengCai,ach,300,0.2,10,0.1,27,2.0,14,1.5738,1,1,1,1.5902,11.904,30.0
YanchengCai,ach,300,0.2,10,0.1,27,2.0,15,1.5859,1,1,1,1.6027,11.9938,30.0
YanchengCai,ach,300,0.2,10,0.1,27,2.0,16,1.5969,2,2,1,1.614,12.0749,30.0
YanchengCai,ach,300,0.2,10,0.1,27,2.0,17,1.6069,2,1,0,1.5799,12.1491,30.0
YanchengCai,ach,300,0.2,10,0.1,27,2.0,18,1.5771,1,1,1,1.591,11.9284,30.0
YanchengCai,ach,300,0.2,10,0.1,27,2.0,19,1.5868,1,1,1,1.6008,12.0001,30.0
Rafal Mantiuk,yv,300,0.92,10,0.1,27,2.0,0,0.6788,2,1,0,0.5,5.3865,30.0
Rafal Mantiuk,yv,300,0.92,10,0.1,27,2.0,1,0.5,2,1,0,0.5,4.1467,30.0
